runKey,hiddenDim,dropout,dropout%,learningRate,momentum,miniBtch,miniBtch_Split,|inputBias,biasL1|,iterations,NFoldCrVal,N,minimumValidationError,TestError,HighestRank%
1,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.22229589221,0.2145107801,0.3076923076923077
2,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.204455261228,0.24474125328,0.2692307692307692
3,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.228833769714,0.215116698349,0.34615384615384615
4,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.204395099185,0.250178137107,0.3076923076923077
5,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.214548042671,0.223126267333,0.34615384615384615
6,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.243302507026,0.218797049974,0.3076923076923077
7,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.205829336863,0.241543087081,0.34615384615384615
8,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.213159947864,0.224739968703,0.2692307692307692
9,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.22595223509,0.215208772803,0.3076923076923077
10,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.232380793916,0.216275702412,0.46153846153846156
11,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.220491232532,0.21591051058,0.38461538461538464
12,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.203419648098,0.264096789363,0.2692307692307692
13,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.218403982907,0.218143082783,0.3076923076923077
14,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.207387583515,0.234442366559,0.3076923076923077
15,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.209754476699,0.229566309785,0.3076923076923077
16,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.233753944802,0.216903314996,0.34615384615384615
17,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.217555501288,0.219423331111,0.2692307692307692
18,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.216348760166,0.222116202007,0.2692307692307692
19,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.242846215322,0.218432160622,0.38461538461538464
20,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.212512919197,0.225648464887,0.2692307692307692
21,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.234309697885,0.215242964038,0.3076923076923077
22,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.218367904735,0.218250023935,0.3076923076923077
23,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.205053928947,0.2446205511,0.3076923076923077
24,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.220365107663,0.216088707416,0.34615384615384615
25,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.232724641126,0.215753625168,0.3076923076923077
26,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.229355285125,0.215782046502,0.34615384615384615
27,3,True,0.65,0.05,0.1,False,250,True,True,25000,True,Dates,0.216593250964,0.220341005663,0.34615384615384615
