date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,OpptAverage
20160707,Adrian Gonzalez,1B,408236,sdg,3,0.078125,0,0.300622294,0.2924792581,0.8265683024
20160707,Anthony Rizzo,1B,519203,atl,9.2,0.2395833333,0,0.8983725689,0.7514559411,0.7539754889
20160707,C.J. Cron,1B,543068,tam,7,0.1822916667,1,0.5457393048,1,0.538210987
20160707,Clint Robinson,1B,519208,nym,21.7,0.5651041667,1,0.1695785942,0.2056543143,0.278094866
20160707,Dae-Ho Lee,1B,493193,kan,9.2,0.2395833333,1,0.3819660035,0.7025245007,0.3947740786
20160707,Eric Hosmer,1B,543333,sea,0,0,0,0.5644359678,0.4171548498,0.3409246559
20160707,Freddie Freeman,1B,518692,chc,6.2,0.1614583333,1,0.5104063705,0.5557949306,0.0816261387
20160707,James Loney,1B,425766,was,6.5,0.1692708333,0,0.320154251,0.5780332643,0.1106876333
20160707,Joe Mauer,1B,408045,tex,15.4,0.4010416667,1,0.3411201292,0.1594324828,0.3764952403
20160707,John Jaso,1B,444379,stl,3,0.078125,1,0.2661942615,0.0935540186,0.2253163471
20160707,Jurickson Profar,1B,595777,min,0,0,0,0.44807952,0.0132934998,0.8594645285
20160707,Justin Smoak,1B,475253,det,0,0,0,0.3574222829,0.2965656669,0.6304084114
20160707,Mark Reynolds,1B,448602,phi,38.4,1,0,0.445545795,0.3714582977,0.6560453121
20160707,Mark Teixeira,1B,407893,cle,3,0.078125,1,0.0761092008,0.4120023362,0.1113068424
20160707,Marwin Gonzalez,1B,503556,oak,3.5,0.0911458333,0,0.3791538472,0.3298080225,0.6261984834
20160707,Matt Adams,1B,571431,pit,0,0,0,0.4144450168,0.4992431034,0.702204752
20160707,Miguel Cabrera,1B,408234,tor,0,0,1,0.6971920202,0.7058010696,0.3057291865
20160707,Mike Napoli,1B,435063,nyy,6.5,0.1692708333,0,0.6327630132,0.4849271216,0.4348185133
20160707,Nick Franklin,1B,545338,laa,3,0.078125,0,0.508916763,0.9386882803,0.71073839
20160707,Ryan Howard,1B,429667,col,25.2,0.65625,1,0.0655705754,0.3207686759,1
20160707,Wil Myers,1B,571976,lad,0,0,1,1,0.9879100001,0
20160707,Yonder Alonso,1B,475174,hou,16,0.4166666667,1,0,0,0.4615334055
20160706,A.J. Reed,1B,607223,sea,9.2,0.2929936306,0,0,0.312474483,0.2023529345
20160706,Adrian Gonzalez,1B,408236,bal,22,0.7006369427,0,0.3194187908,0.2774511364,0.3560897012
20160706,Anthony Rizzo,1B,519203,cin,6,0.1910828025,0,0.9424810847,0.7479769979,1
20160706,Brandon Belt,1B,474832,col,24.9,0.7929936306,0,0.6482507628,0.4878414186,0.619344981
20160706,C.J. Cron,1B,543068,tam,6,0.1910828025,1,0.5937008305,1,0.3370588766
20160706,Carlos Santana,1B,467793,det,6,0.1910828025,0,0.7455841508,0.6359326966,0.4096584467
20160706,Chris Carter,1B,474892,was,0,0,1,0.5709614306,0.6935052034,0.0723713228
20160706,Chris Davis,1B,448801,lad,9.2,0.2929936306,1,0.7800352994,0.7649878375,0
20160706,Dae-Ho Lee,1B,493193,hou,18.7,0.5955414013,1,0.3914405725,0.698906444,0.2687003366
20160706,Daniel Descalso,1B,518614,sfo,0,0,1,0.8388129541,0.1465816643,0.2509804912
20160706,David Freese,1B,501896,stl,27.9,0.8885350318,1,0.5734241815,0.3242887192,0.1361923529
20160706,Edwin Encarnacion,1B,429665,kan,12.2,0.3885350318,0,0.9170189769,0.9606214451,0.2630123869
20160706,Eric Hosmer,1B,543333,tor,6,0.1910828025,1,0.6095855738,0.4177769664,0.212383017
20160706,Freddie Freeman,1B,518692,phi,6.5,0.2070063694,1,0.5550219595,0.5560887471,0.4196472838
20160706,Hanley Ramirez,1B,434670,tex,9.2,0.2929936306,0,0.6251556322,0.3396900597,0.2299362518
20160706,James Loney,1B,425766,mia,0,0,0,0.398856189,0.5755838752,0.2801952614
20160706,Jedd Gyorko,1B,576397,pit,12.7,0.4044585987,0,0.3764588379,0.549342763,0.4436187918
20160706,Joe Mauer,1B,408045,oak,18.7,0.5955414013,0,0.3648565448,0.1530486344,0.3882985803
20160706,Joey Votto,1B,458015,chc,3,0.0955414013,1,0.6873537742,0.4966945001,0.0452193118
20160706,Jose Abreu,1B,547989,nyy,0,0,0,0.4408324098,0.2656078488,0.2831090804
20160706,Jurickson Profar,1B,595777,bos,6.2,0.1974522293,1,0.506752042,0.0252193649,0.3705390213
20160706,Logan Morrison,1B,489149,laa,6,0.1910828025,0,0.3758568321,0.4387178055,0.4612793052
20160706,Mark Teixeira,1B,407893,chw,0,0,1,0.139802159,0.4113236095,0.2557156655
