date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10
20160707,Adrian Gonzalez,1B,408236,sdg,3,0.078125,0,0.300622294,0.2184392983,0.2924792581,0.582605077,0.4631497285,0.0119689201,0,0.32,0.8265683024,0.9764692509,0.6659074562,0.7015173454,0.9764692509
20160706,Adrian Gonzalez,1B,408236,bal,22,0.7006369427,0,0.3194187908,0.2050142911,0.2774511364,0.4323024055,0.2763675366,0,0.6483542588,0.76,0.3560897012,1,0.6093567251,0.6241762783,1
20160702,Adrian Gonzalez,1B,408236,col,16.2,0.2234482759,0,0.2779185093,0.2209124242,0.2948354013,0.3166666667,0.4550724638,0.0926699654,0.6433121903,0.4444444444,0.6927026734,1,0.8167680865,0.8005755869,1
20160629,Adrian Gonzalez,1B,408236,mil,3,0.0791556728,1,0.3235859457,0.2631047152,0.3506222314,0.2897497982,0.4769828064,0.6615304656,0.3552001967,0.3461538462,0.6048302927,0.7035136202,0.5879754207,0.5249211873,0.7035136202
20160625,Adrian Gonzalez,1B,408236,pit,0,0,1,0.2991956793,0.250908263,0.3334969312,0.2933930571,0.1745495495,0.3119091007,0.2127879669,0.44,0.6280640098,0.5455651405,0.8289556464,0.5189745767,0.5455651405
20160619,Adrian Gonzalez,1B,408236,mil,3,0.0859598854,0,0.3214029504,0.2645638707,0.3444005964,0.2858283433,0.2524199553,0.1093262366,0.6810704782,0.375,0.6608668226,0.2482014388,0.6530122794,0.5394704882,0.2482014388
20160615,Adrian Gonzalez,1B,408236,ari,9.2,0.2305764411,1,0.3786700125,0.2857912634,0.3666675862,0.2471910112,0.1953696789,0.7085469033,0,0.4230769231,0.5660434638,0,0.4015464844,0.2695860154,0
20160612,Adrian Gonzalez,1B,408236,sfo,0,0,1,0.3748418611,0.2788278109,0.3604929138,0.2754076602,0.4049751244,0.7054877456,0.5675125209,0.7916666667,0.333751052,0.5795021305,0.1413868736,0.3233009199,0.5795021305
20160608,Adrian Gonzalez,1B,408236,col,6,0.1604278075,0,0.5282481962,0.3426211977,0.4703287589,0.3011031798,0.2171206226,0.0983049132,0.0777547393,0.4166666667,0.7261761162,1,0.3426236379,0.9732375519,1
20160606,Adrian Gonzalez,1B,408236,col,6.2,0.2857142857,0,0.3471118084,0.2332343554,0.3042099661,0.3790047716,0.20116179,0.0608585242,0.5091804168,0.3913043478,1,1,0.7853699086,1,1
20160604,Adrian Gonzalez,1B,408236,atl,0,0,0,0.4976227512,0.2856152853,0.3667131028,0.4343248663,0.1293572985,0,0.6031578659,0,0.5641247078,0.5388682975,0.4603520165,0.6577083699,0.5388682975
20160602,Adrian Gonzalez,1B,408236,chc,0,0,1,0.5024081611,0.0809417077,0.104178826,0.472826087,0.7953296703,0.7029423102,0.4217317,1,0,0.4525745257,0.1478136882,0,0.4525745257
20160529,Adrian Gonzalez,1B,408236,nym,19.5,0.7587548638,1,0.6084100029,0.3209436236,0.4262672582,0.5181584215,0.5,0.977384097,0.7667200062,0.7368421053,0.2952840498,0.6761506276,0.6435427574,0.2476706651,0.6761506276
20160523,Adrian Gonzalez,1B,408236,cin,3,0.060483871,0,0.4300850925,0.2004881728,0.2787755518,0.6021400778,0.5319634703,0,0.2259939511,0.2222222222,1,0.8761904762,0.8099449787,1,0.8761904762
20160522,Adrian Gonzalez,1B,408236,sdg,15.7,0.5032051282,1,0.3800646987,0.1941797416,0.2697975805,0.4396396396,0.4438040346,0.6876329776,0.5668587571,0.3888888889,0.4790353492,0.8904109589,0.4719138917,0.3418633316,0.8904109589
20160710,Adrian Gonzalez,1B,408236,sdg,21.7,0.6910828025,0,0.3867136238,0.1921803346,0.2532212124,0.7970602646,0.662962963,0.2523929471,0,0.2692307692,0.5412096111,0.8238705453,0.7171566961,0.6457309786,0.8238705453
20160705,Adrian Gonzalez,1B,408236,bal,9.5,0.2004219409,0,0.3011729096,0.2002364919,0.2651813461,0.3878275109,0.4020060181,0,0.4454090266,0.7307692308,0.3772615497,1,0.8635680281,0.621066905,1
20160630,Adrian Gonzalez,1B,408236,mil,15.7,0.4120734908,1,0.2590908422,0.3243767608,0.4003247281,0.3599224305,0.5099009901,0.6467298202,0.3359157405,0.3846153846,0.5700552151,0.6626303348,0.2582321491,0.5010673388,0.6626303348
20160704,Adrian Gonzalez,1B,408236,bal,9,0.261627907,0,0.3429720491,0.2229279985,0.2967651073,0.3751857355,0.3806508355,0,0.5018948773,0.76,0.3727639914,1,0.7040019437,0.6207422579,1
20160628,Adrian Gonzalez,1B,408236,mil,27.9,0.6355353075,1,0.2554682461,0.226275152,0.3082628692,0.114852889,0.1390870185,0.5879189132,0.4636720554,0.3846153846,0.6041624158,0.4059680777,0.4685999921,0.4830010332,0.4059680777
20160621,Adrian Gonzalez,1B,408236,was,6,0.2380952381,0,0.3261325591,0.2580857387,0.3377668041,0.193948418,0.1803921569,0.1698198157,0.4813950619,0.8461538462,0.1838641889,0.6225240521,0.625,0.3870167731,0.6225240521
20160617,Adrian Gonzalez,1B,408236,mil,6,0.1941747573,0,0.3584103153,0.2794858058,0.3616392432,0.2858024691,0.0740740741,0.0830718315,0.4959846457,0.4583333333,0.6174984445,0.1631324094,0.7243550179,0.5494822962,0.1631324094
20160616,Adrian Gonzalez,1B,408236,mil,0,0,0,0.4224233249,0.2805379993,0.3613850184,0.1472148541,0.2067818298,0.0966031246,0.5597703624,0.5,0.5782320437,0.144642181,0.7218331303,0.5737387942,0.144642181
20160613,Adrian Gonzalez,1B,408236,ari,0,0,1,0.411352116,0.3201591897,0.3978932302,0.2475247525,0.46484375,0.7974639028,0.6276590245,0.4,0.5622238062,0,0.1738686281,0.3150652737,0
