date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,mean10Day,mean5Day,OpptAverage,OpptAverage5
20160707,A.J. Ellis,C,454560,sdg,3,0.0955414013,0,0,0,0.0895848507,0.0671755725,0.8265683024,0.6659074562
20160707,Brian McCann,C,435263,cle,3,0.0955414013,1,0.8195287483,0.9412366726,0.7710956196,0.158778626,0.1113068424,0.7704387437
20160707,Cameron Rupp,C,519237,col,0,0,1,0.5898771687,0.4039414299,0.6193250789,0.4244274809,1,0.2908175497
20160707,Carlos Perez,C,542208,tam,0,0,1,0.2205706639,0.7933430349,0.9752367079,1,0.538210987,0.7067849437
20160707,Chris Gimenez,C,460269,nyy,0,0,0,0.0563335404,0.1433545702,0.0415149308,0.0702290076,0.4348185133,0.3729321506
20160707,Chris Iannetta,C,455104,kan,0,0,1,0.3355159394,0.6067212757,0.1978635591,0.1984732824,0.3947740786,0.5202589307
20160707,Derek Norris,C,519083,lad,18.4,0.5859872611,1,0.5621724099,0.6912247663,0.5688273853,0.3374045802,0,0.2983696955
20160707,Eric Fryer,C,518700,stl,0,0,1,0.4265481368,0.3634574957,1,0.5709923664,0.2253163471,0.5912251259
20160707,Hank Conger,C,474233,laa,3,0.0955414013,0,0.0375663146,0.5203512672,0.0467589221,0.0213740458,0.71073839,0.4174058979
20160707,James McCann,C,543510,tor,15.7,0.5,1,0.2227851328,0.5258871062,0.0988103909,0.0671755725,0.3057291865,0
20160707,Jason Castro,C,488771,oak,0,0,0,0.5132629164,0.6769661737,0.1570769604,0.158778626,0.6261984834,0.4690721649
20160707,Kurt Suzuki,C,435559,tex,31.4,1,1,0.3100256496,0.5943204894,0.3163389172,0.3633587786,0.3764952403,0.8785662911
20160707,Nick Hundley,C,460026,phi,9,0.2866242038,0,0.6709840845,0.5260127449,0.2532168002,0.2595419847,0.6560453121,0.0170222968
20160707,Robinson Chirinos,C,455139,min,0,0,0,0.6474692922,1,0.5076474873,0.4936386768,0.8594645285,0.0775593383
20160707,Russell Martin,C,431145,det,12.5,0.398089172,0,0.4969172681,0.8795184422,0.7303090209,0.5328244275,0.6304084114,0.338527931
20160707,Salvador Perez,C,521692,sea,22.2,0.7070063694,0,0.5847631793,0.8149083066,0,0,0.3409246559,0.3682570127
20160707,Stephen Vogt,C,519390,hou,6,0.1910828025,1,0.4609440966,0.4983286951,0.4464675892,0.1353689567,0.4615334055,0.3402061856
20160707,Travis d'Arnaud,C,518595,was,18.7,0.5955414013,0,0.1869234813,0.1568596561,0.4614504214,0.427480916,0.1106876333,0.2826660273
20160707,Tyler Flowers,C,452095,chc,6.5,0.2070063694,1,0.4741034587,0.4538152048,0.6144695314,0.1160305344,0.0816261387,1
20160707,Willson Contreras,C,575929,atl,22,0.7006369427,0,0.861348755,0.599778338,0.4377276038,0.3334351145,0.7539754889,0.7764325102
20160707,Wilson Ramos,C,467092,nym,6.5,0.2070063694,1,1,0.8099901228,0.6365622724,0.3541984733,0.278094866,0.205106689
20160707,Yadier Molina,C,425877,pit,0,0,0,0.3018687569,0.0128915335,0.1813546977,0.0916030534,0.702204752,0.1831695037
20160707,Adam Morgan,P,605388,col,9,0.1206896552,1,0,0.4666937292,0.1290322581,0.140625,1,0.3310137809
20160707,Adam Wainwright,P,425794,pit,57,0.9482758621,0,0.3894701825,0.4260860389,0.5806451613,0.65625,0.702204752,0.2084868331
20160707,Bartolo Colon,P,112526,was,2,0,0,0.4511099776,0.5987775442,0.5483870968,0.75,0.1106876333,0.321735571
